"product_id","brand","model","price"
"produto032","TOYOTA","HILUX",255000
"produto034","MERCEDES-BENZ","C-180",448500
"produto035","VOLKSWAGEN","AMAROK",420000
"produto036","FIAT","TORO",210000
"produto045","MITSUBISHI","ECLIPSE",247500
"produto065","VOLKSWAGEN","T-CROSS",165000
"produto067","CHEVROLET","CAMARO",255000
"produto087","VOLVO","XC",144000
"produto088","PORSCHE","MACAN",718500
"produto090","AUDI","Q3",154350
"produto093","NISSAN","FRONTIER",223500
"produto102","JEEP","COMPASS",195000
"produto105","VOLKSWAGEN","NIVUS",172350
"produto117","AUDI","Q7",239850
"produto120","PORSCHE","CAYENNE",1095000
"produto124","BMW","X2",315000
"produto128","NISSAN","KICKS",165000
"produto131","MITSUBISHI","OUTLANDER",139350
"produto143","BMW","328IA",233850
"produto146","MERCEDES-BENZ","A",375000
"produto150","RENAULT","MASTER",184350
"produto155","LAND ROVER","RANGE",239850
"produto165","MERCEDES-BENZ","E-63",285000
"produto170","MERCEDES-BENZ","SPRINTER",165000
"produto173","VOLVO","V40",142860
"produto174","PEUGEOT","5008",285000
"produto175","AUDI","R8",630000
"produto180","MERCEDES-BENZ","GLA",202500
"produto181","FORD","MUSTANG",487500
"produto187","RAM","2500",525000
"produto188","BMW","320IA",360000
"produto189","LEXUS","ES-350",255000
"produto193","MERCEDES-BENZ","C-250",232500
"produto194","JAC","T5",139500
"produto198","BMW","M2",630000
"produto202","BMW","X3",180000
"produto204","BMW","X6",255000
"produto207","AUDI","TT",344700
"produto210","JAGUAR","E-PACE",450000
"produto215","BMW","Z4",279000
"produto217","LAMBORGHINI","GALLARDO",435000
"produto219","MERCEDES-BENZ","GLC",375000
"produto220","AUDI","A5",165000
"produto222","LAND ROVER","DISCOVERY4",207900
"produto223","BMW","225I",299850
"produto224","LEXUS","NX-300",274500
"produto226","TOYOTA","PRIUS",146250
"produto227","PEUGEOT","RCZ",150000
"produto228","VOLVO","V60",165000
"produto232","TOYOTA","RAV4",148827
"produto235","LAND ROVER","DISCOVERY",300000
"produto240","JAGUAR","XE",283500
"produto241","MERCEDES-BENZ","CLA-200",193500
"produto244","PORSCHE","CAYMAN",675000
"produto247","LAND ROVER","DEFENDER",840000
"produto249","LEXUS","CT200H",172500
"produto251","AUDI","A7",300000
"produto253","CHEVROLET","TRAILBLAZER",270000
"produto254","HYUNDAI","GRAND",150000
"produto256","JAC","IEV",300000
"produto257","MERCEDES-BENZ","SLK-200",285000
"produto260","BMW","X4",345000
"produto262","AUDI","A6",270000
"produto263","AUDI","A4",270000
"produto265","FORD","F-250",225000
"produto268","JEEP","RENEGADE1.8",139500
"produto271","PORSCHE","BOXSTER",555000
"produto274","BMW","125I",165000
"produto275","MERCEDES-BENZ","CLA-250",270000
"produto276","JAGUAR","F-PACE",344700
"produto277","BMW","M4",555000
"produto279","MERCEDES-BENZ","GLE-400",750000
"produto280","MERCEDES-BENZ","GL-500",213000
"produto281","JAGUAR","XF",283500
"produto282","JEEP","CHEROKEE",270000
"produto297","BMW","M6",630000
"produto298","AUDI","Q5",172500
"produto299","JAC","T80",247500
"produto306","MERCEDES-BENZ","ML-350",207000
"produto309","MERCEDES-BENZ","E-250",375000
"produto311","AUDI","RS4",809985
"produto312","MERCEDES-BENZ","SLK-250",258000
"produto314","JAC","T60",210000
"produto315","MERCEDES-BENZ","ML-63",321000
"produto318","BMW","420I",254850
"produto328","BMW","I8",750000
"produto330","MERCEDES-BENZ","C-300",525000
"produto331","FOTON","AUMARK",165000
"produto332","AUDI","TTS",450000
"produto333","MERCEDES-BENZ","CLA-180",202500
