"visit_id","customer_id","store_id","product_id","visit_page_date","add_to_cart_date","start_checkout_date","finish_checkout_date","paid_date","discount"
"38836BE8B968","73650706FFAE","BF580E604866","produto001","2021-02-19","2021-02-19",NULL,NULL,NULL,-0.34
"7FB675C2F431","236A739A6063","F79B06D22BC3","produto002","2021-04-20",NULL,NULL,NULL,NULL,-0.38
"B07A4A5759AC","CF2DFCBE74E3","B06DF477008E","produto003","2021-06-25",NULL,NULL,NULL,NULL,-0.14
"713A295F9E4C","25504A496AEB","97D85A358174","produto004","2021-06-04","2021-06-04",NULL,NULL,NULL,-0.08
"D6145FA8A291","05DE6BCDFEC7","BF580E604866","produto005","2021-08-26",NULL,NULL,NULL,NULL,-0.3
"A91226D693A4","CF65A8E9C692","71CC76D33BA5","produto006","2020-11-07","2020-11-07",NULL,NULL,NULL,-0.11
"4ED06F479040","AC89FF38B365","9AC21BD7B535","produto007","2021-07-01",NULL,NULL,NULL,NULL,-0.16
"DDD415755853","1D4EF6B29AFF","A7FCFA94C778","produto008","2021-07-06","2021-07-06",NULL,NULL,NULL,-0.14
"858A59532A82","F21B059B9F17","AD664CA8ADB1","produto009","2021-01-05",NULL,NULL,NULL,NULL,-0.1
"B146204AB584","DC3D147117FA","9968620478F3","produto003","2021-05-28","2021-05-28",NULL,NULL,NULL,-0.13
"4CB125221DCD","396D41F99C9C","1B1ED006171D","produto010","2021-03-08",NULL,NULL,NULL,NULL,0
"1A96F6B924B6","702ACBD43CA6","7B714AB49197","produto011","2021-04-28",NULL,NULL,NULL,NULL,-0.41
"A4DEC8F0CBA2","52A9C7E2441F","4D76675DA50F","produto012","2021-07-06","2021-07-06",NULL,NULL,NULL,-0.17
"D21665A7BB5F","E82E5C777CE7","73B9136D5772","produto013","2021-06-18",NULL,NULL,NULL,NULL,-0.1
"18E09F2A5D7D","8A5040BFAB7F","E69B31E700C6","produto014","2021-07-16",NULL,NULL,NULL,NULL,-0.21
"4F299C7148F0","E8FCDD91F72A","F012FC5E4F3C","produto005","2021-03-29",NULL,NULL,NULL,NULL,-0.24
"AA1930EE82C4","EE33C47335C7","7C759690C7B5","produto005","2021-06-12",NULL,NULL,NULL,NULL,-0.2
"B636E870D7FA","A17D82741504","CF51BA3674C2","produto015","2021-07-02","2021-07-02",NULL,NULL,NULL,-0.1
"6230563DBE6C","97DD100EB27C","DEE50C44B052","produto016","2021-08-09",NULL,NULL,NULL,NULL,-0.08
"B7414CE5428C","7C01785F6A0C","41B784638C98","produto017","2020-10-10","2020-10-10",NULL,NULL,NULL,-0.04
"7AEC13774878","A7BFC984A2C9","6AB14959A16E","produto018","2020-12-11","2020-12-11",NULL,NULL,NULL,-0.17
"009B40AEA856","D364A67E037C","BEAD9D763CDD","produto019","2021-04-06","2021-04-06","2021-04-10",NULL,NULL,-0.05
"EFE3ADA4EB6E","D8C3C3A88992","F7261ABFA666","produto020","2020-11-05","2020-11-05",NULL,NULL,NULL,-0.1
"B9EB5F5D4B30","F9C49F829499","DC77AC31B541","produto021","2020-12-07",NULL,NULL,NULL,NULL,-0.15
"B116BA2921D6","E257C6B10E8B","C5C66AFBB663","produto021","2021-07-24","2021-07-26",NULL,NULL,NULL,-0.02
"449808339088","E07F4711645C","1F7A9479AE6F","produto022","2021-07-04","2021-07-04",NULL,NULL,NULL,-0.37
"ECF040E13903","BAB0318DB389","C360950808D2","produto023","2021-08-14","2021-08-14",NULL,NULL,NULL,-0.15
"D8E6E93D7C00","55B0ADDABC11","BC5568ECECAE","produto024","2021-08-26","2021-08-26",NULL,NULL,NULL,-0.24
