"store_name","store_cnpj","store_id"
"RONDINELIA HENDRI WALTERCY LTDA","69947176155500","BF580E604866"
"MARIONILSON ELENILCE ANNAIR LTDA","57751318123400","F79B06D22BC3"
"JODINA CARLILI VALDILUCIO LTDA","07763238230760","B06DF477008E"
"GERSIANA WILKLER PAULOROBERTO LTDA","78206840245600","97D85A358174"
"DICIVALDO ROSICLER LISIAN LTDA","10581742244300","71CC76D33BA5"
"AMINE MEIK JACSANDRA LTDA","59705178188800","9AC21BD7B535"
"UBANO JOZELICE EURIDIANE LTDA","36574588222100","A7FCFA94C778"
"ALAILSON IARACY CREDINA LTDA","13524264198700","AD664CA8ADB1"
"SUSINETE ELLON ADILANDIA LTDA","19787640176500","9968620478F3"
"NILFA CID SILVANDRO LTDA","06081122150500","1B1ED006171D"
"LAUDISSE ZELIMAR NANHARA LTDA","69481640134500","7B714AB49197"
"IRINELDE SAMDRA KARMINA LTDA","95230988222120","4D76675DA50F"
"ERMES MITIYO HELMITON LTDA","01624622227100","73B9136D5772"
"CLEUNIR KADMIEL EDVANDO LTDA","43660942234500","E69B31E700C6"
"ADINILSOM HENEDINO BARTIRA LTDA","34108978209800","F012FC5E4F3C"
"SILZO ELENIRA WALQUIRIO LTDA","94942664161700","7C759690C7B5"
"NEIDEJANE CARLISSON ANNE LTDA","26693034232000","CF51BA3674C2"
"KEVER WILLANIS VALDIMEIA LTDA","49850182133300","DEE50C44B052"
"IGNACIA ROSIDELMA PAVLA LTDA","53220218232000","41B784638C98"
"EMENI MEIRELANE LISIELE LTDA","32673212230800","6AB14959A16E"
"CLARYSSA JOZENILDA JACY LTDA","35311656149300","BEAD9D763CDD"
"ALBERTONIO IANNE EURILANDIA LTDA","23410590203600","F7261ABFA666"
"TADEU ELLITON CREIDIANA LTDA","67885088167800","DC77AC31B541"
"NISEA CICILHA ADILCE LTDA","52963828175200","C5C66AFBB663"
"LAYANY ZELIA SILVANES LTDA","23830918245600","1F7A9479AE6F"
"ISAILDE SAMARIO NANUSA LTDA","81177808244300","C360950808D2"
"ERVESON MITICO KAROLAYNE LTDA","08297210167800","BC5568ECECAE"
"CLOACIR KADIA HELNA LTDA","86765246236900","69128715E6A6"
"ADONARIO HENDRIW EDVANETE LTDA","71609180228300","83D22F1A42CF"
"SIRLENE ELENILTO BARTOR LTDA","35985964220890","0FD755FC6E8F"
"NELIM CARLINHO WALTECIR LTDA","09127582130800","C5A6769AE3F4"
"KIRLEN WILLAMAR ARCULINO LTDA","53090794193740","FF2BEBABAFFE"
"ILDIMARA ROSIDALVA VALTERCIR LTDA","70685630148100","5F026F55CC8D"
"ENDIE MEILY RAKELLE LTDA","10204864186300","FC105737FE0A"
"CLAUDINEO JOZENAIDE LUYANE LTDA","55223452139400","832FD2EAA33E"
"ALAERSO IARIMA JERSIO LTDA","34038630211000","818B71F918C6"
"SUSELANE ELLYTON GELICE LTDA","53556474198670","449E7D1BBBC9"
"NETANIA CIDARTA DHAVID LTDA","71787796154200","1AC38C457FDE"
"KEULLE ZELIOMAR ANATIANA LTDA","95939116185100","23292D52E5CC"
"IADSON SAMELY ULIAM LTDA","86150162123400","C13C1FB03F9D"
"ELIGIA MITSUO PANMELA LTDA","48681372186300","8DC040934F19"
"CARLEANDERSON KAELANI LORENTINA LTDA","87986776162900","03CCE616AE84"
"WILIANN HENILDO JAQUEILANE LTDA","12860648240600","944099FD9A29"
"RONCALLI ELENITO FRANCIELA LTDA","44152040175230","50441D4F27E9"
"MARION CARLLA DELION LTDA","41217064182600","F4CBEB74AA75"
"JODETE WILLEAN ARCENIR LTDA","73129210208500","64420383E0EC"
"GERRIVALDO ROSIELEN VALTEIDE LTDA","21306024134500","C2E40FCEB847"
"DICESAR MEIRELY RAISAN LTDA","88175112197400","DCC4BE132109"
"AMILTON JOZEVA LUSMARA LTDA","41819598143100","F2269F9EFDF0"
"UARLISON IASNAYA JERNILSON LTDA","44446422164100","8FD8D7CD8CB1"
"ALBA ELOA GELCINEI LTDA","05286882182600","1639F0C296A7"
"SUZUKI CIDIMARA DEZIELE LTDA","41694732222100","1010AD5B206B"
"NILZA ZENALHA ANARLENE LTDA","55762778202380","9A0BFC554E31"
"LAURIELSON SAMMYR UIRAJARA LTDA","30390316129600","5EA23FF62282"
"IRNI MOABES PALMERINA LTDA","55625730191270","A00E6E06AC25"
"EROILDE KAIANY LORE LTDA","83491902236900","70FD22D19CA1"
"CLEYLTON HERACLES JANSON LTDA","05872648193740","8E5A8314ABD7"
"ADLER ELEONDAS FRANCIANIA LTDA","42594400223400","9DEFB94D6DEF"
"SINEIDA CARMELISA DELFINA LTDA","74187346129600","408D3A7F1887"
"NEISSE WILLIN ARCELINO LTDA","55282850146800","BEF81417F66A"
"KHAUANY ROSILEIDE VALTAN LTDA","34150850222100","2F7CA42F7860"
"ILCILEIA MEIRIVAN RAIRENE LTDA","43277070172800","D44E57FB3251"
"EMIRIA JOZUE LUSIVAL LTDA","57729942183900","0A822A0B51E0"
"CLAUDENISSE HYURI JERMINA LTDA","85515614130800","8EBE96184B46"
"ALBEDI ELIFABIA GELBSON LTDA","65098534215900","C55F60EB99E4"
"SYLVIE CARIZE DEZANIRA LTDA","59536778180200","17A40810710E"
"NIMA WILHELM ANARI LTDA","57491296148100","F54AAEA697CC"
"LAURISSON RONALTE UINARA LTDA","24311042155500","4AC111D935B0"
"IRTOM MARINO PALIANA LTDA","66057916123400","4ED9881123C1"
"ERONIDES JODEILDO LORANIA LTDA","97153220230800","275BE3A41E3B"
"CLICYA GERONICE JANQUIEL LTDA","39545846217180","186D36CEDF2F"
"ADNAEL DIAS FRANCHESCO LTDA","57037354156700","66BEC07B64F8"
"SINIZIA AMILCARE DELES LTDA","71747000241900","DF9B4E771532"
"NEIZE UANDRE ARCILO LTDA","34084288213500","F595D4B9869B"
"KIELI ORDI VALTENEI LTDA","61624466171500","A84A373904D4"
"ILDEFONCO LEOTILDES RAIULA LTDA","43258370174000","918397302DFE"
"EMMI ISOLDINA LUTHERO LTDA","13571362241900","57C9EA8C0D1C"
"CLAUDEVAN IDALVINA JERRINALDO LTDA","49265178162900","902464BABF44"
"ALARISSA ELSBETH GELEANDRO LTDA","16338028224600","4718EA9B4B1F"
"SUZICLEIDE CIMARIO DGERSON LTDA","75472402143140","2AD6E02C075E"
"NILVANO ZEZO ANATAIR LTDA","15011248227100","52E1B1208453"
"LAURICE SANDREY UISTON LTDA","59813530174000","9FA44C56D635"
"IRLIANE MONISI PAMELA LTDA","23692714211000","841DFEA449B3"
"ERNO KALIDIA LOREN LTDA","68921528188800","CDBF2D8A11BE"
"CLEVISON HERLANO JANYARA LTDA","27734728129570","1DE4E5A259B3"
"ADJELSON ELIABETH FRANCICLEUMA LTDA","75072300244300","FE23DE66562D"
"SINDIA CARSIO DELIDE LTDA","00358140127100","3DCF8700A85B"
"NEIRI WIRIS ARANALDO LTDA","38817640160400","ABBFF2284F9A"
"KHADIJA ROSIONE VALQUELINE LTDA","90951996148100","8DFAE7673BED"
"ILARIANE MELRE RAINERE LTDA","24121660213500","4A251C5178E1"
"EMILYNE JUCEMAR LUSICLEIA LTDA","13537514218400","64358DFC8E72"
"CLAUDENEY IASMYM JERISVAN LTDA","79081230146800","A60BAA68F2F6"
"AKIZA ELMON GEIVERSON LTDA","67642164211000","22779A3F3795"
"SUN CIDICLEY DEYNA LTDA","05588372169100","7C03F2B29879"
"NERLANE ZENAILDA ANAN LTDA","71021260236900","C156438903FD"
"KETTELLEN SAMMIR UILIAMES LTDA","50907146180200","B0D9AE49157B"
"HYARLA MIZIA PABLINA LTDA","99089152208500","5F7CAC627672"
"ELIETI KAHUE LON LTDA","43173918132000","2A20ABE5B2B8"
"CARIENE HENRRIQUETA JANIVAL LTDA","92971296228300","BEAEE56F69D9"
"WILDMAR ELEONAN FRANCELIR LTDA","98286526135700","4DEDFDC89DE8"
"RONADIA CARMELHA DELCINEY LTDA","08799260199900","4F62E30A1DDA"
"MARINILDA WILLIENE ANTINHO LTDA","09785784145600","E52DD24FA037"
"JOCLECIA ROSILDA VALDISSON LTDA","40037386134500","30EA033D2E55"
"GERNANDA MEIRINALVA RAELITA LTDA","80909074143100","B043CECCC20F"
"DIANDERSON JOZIRA LUENNE LTDA","21255436191300","89C7816BB457"
"AMELITA IDEQUEL JENESIS LTDA","05881788181400","075EBC5ACBAB"
"UALES ELVITON FRANCISE LTDA","76458206159190","23F9A8F32C00"
"AJADIR CIVIRINO DEINY LTDA","74786614172800","E1C6CE994F16"
"SULENA ZIQUIEL ALEXANIA LTDA","75614178243100","93C2708C578C"
"NERIAN SARAR TEODORINO LTDA","25817792187600","30FA416B0884"
"KETINI MURIAN NORIVALDO LTDA","76063844209800","8CF643C5D887"
"HUGULINO KARIELE LEILAH LTDA","33546866222100","80A2F112561D"
"ELIELIA HERVECIO IRILDE LTDA","38665902134510","7EE6DF53D716"
"CANTALICIO ELIDENIA EPIFANIO LTDA","65236918238200","BEB3D463B15A"
"WILASMAR CATRIA CLARISSIA LTDA","05175532133300","9372D332ACE3"
"ROMILA WONI ZUREIA LTDA","17168756216000","2AD0C13E3998"
"MARINEIDI ROVERSON ARANIS LTDA","09425436215950","875D6E2F33D9"
"JOCILEIA MERISLENE VALQUILENE LTDA","32835708216000","D40C552CED19"
"GERLDO JUCLI RAINILDA LTDA","22297054241860","F0AED731FCC0"
"DHONY IDENIS LUSIENI LTDA","37855566183900","A35199D200DB"
"AMARYLIS ELVIRIO JERLANDIO LTDA","46553974182600","1ACBB72B67F3"
"TUNISIA CITHYA GEIZANE LTDA","29239952124600","65B68766F1EB"
"ALCIONI ZINI DEYSY LTDA","29676466227056","A797A3AD152C"
"TAISO SARAFIN ANANGELICA LTDA","24364126222100","73CD043CB88B"
"NOELHA MUNIR UILKSON LTDA","67977606204800","32EF48F0F996"
"LEDIVANIA KARIANA PABLOLO LTDA","58360432195000","A9865347F727"
"ISLEIDE HERTON LONGINA LTDA","63064842209800","4AD8E09683EE"
"ESPERIDIAO ELIDAN JANIZIO LTDA","39051934135700","9D982F990055"
"COSETE CATIUSSA FRANCELMO LTDA","81562358214720","42E999A136C7"
"ADRYELL WOLNEI DELCIVAN LTDA","48227130234500","805C5D310C3E"
"SOLANEA ROVAN ANTOLINA LTDA","68955424223400","F8365CC9A20C"
"NERAILDE MERILY VALDIVIA LTDA","98070644129570","CA689F996B26"
"KLEVERSSON JUCIVANDO RAELZA LTDA","02917784202400","0B0610766315"
"ILTES IDALITA LUGIANE LTDA","89111278188800","A63E8509ED8B"
"ENILMAR ELRITA JENFER LTDA","63842160150550","2695629FD11A"
"CLEANO CILVIA FRANCISLAYNE LTDA","43148374240600","9FDF7A1EE78E"
"ALANIA ZEZIM DENAIDE LTDA","70929954199900","2F7B1DD360E8"
"SUZELLY SANDRELI ALSOM LTDA","83108340219700","8DE6DCBC6640"
"NILSSOM MONIKELY THEYLOR LTDA","43668610165400","248BB1F20E8A"
